date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:30	196775/196775	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2013:01:40%20GMT	https://bracketweb.com/trevlo-html/index-5.html	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/index-5.html	(from )
09:30:31	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Apr%202024%2002:30:31%20GMT	https://bracketweb.com/robots.txt		(from )
09:30:31	34480/34480	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/apple-touch-icon.png	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/images/favicons/apple-touch-icon.png	(from https://bracketweb.com/trevlo-html/index-5.html)
09:30:32	2056/2056	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/favicon-32x32.png	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/images/favicons/favicon-32x32.png	(from https://bracketweb.com/trevlo-html/index-5.html)
09:30:32	754/754	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/favicon-16x16.png	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/images/favicons/favicon-16x16.png	(from https://bracketweb.com/trevlo-html/index-5.html)
09:30:32	263/263	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2027%20Feb%202024%2012:47:40%20GMT	https://bracketweb.com/trevlo-html/assets/images/favicons/site.webmanifest	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/images/favicons/site.webmanifest	(from https://bracketweb.com/trevlo-html/index-5.html)
09:30:33	232919/232919	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/vendors/bootstrap/css/bootstrap.min.css	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://bracketweb.com/trevlo-html/index-5.html)
09:30:33	11832/11832	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	(from https://bracketweb.com/trevlo-html/index-5.html)
09:30:33	87493/87493	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/vendors/animate/animate.min.css	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/vendors/animate/animate.min.css	(from https://bracketweb.com/trevlo-html/index-5.html)
09:30:33	59348/59348	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202024%2012:47:42%20GMT	https://bracketweb.com/trevlo-html/assets/vendors/fontawesome/css/all.min.css	D:/dev/web_travel/public/v/bracketweb.com/trevlo-html/assets/vendors/fontawesome/css/all.min.css	(from https://bracketweb.com/trevlo-html/index-5.html)
